Direccion
CALLE 1   # 67  - 56
CALLE 1 B OESTE # 4  - 200
CALLE 1 D  # 61 A - 25
CALLE 11   # 65 A - 57
CALLE 11 A  # 22  - 29
CALLE 12   # 42 A - 16
CALLE 12   # 39  - 21
CALLE 12   # 41 B - 9
CALLE 13   # 75  - 32
CALLE 13   # 43  - 72
CALLE 13  OESTE # 55  - 42
CALLE 13  OESTE # 1  - 45
CALLE 13   # 41  - 31
CALLE 13 A  # 66  - 42
CALLE 14  OESTE # 4  - 46
CALLE 14 B  # 41 A - 38
CALLE 14 C  # 56  - 51
CALLE 14 C  # 65  - 120
CALLE 15   # 8  - 50
CALLE 15  NORTE # 9 N - 62
CALLE 16 A  # 23  - 74
CALLE 18   # 18  - 35
CALLE 1 A  # 70  - 30
CALLE 21   # 16  - 25
CALLE 23   # 5 A - 15
CALLE 25   # 37  - 51
CALLE 26   # 36  - 17
CALLE 26   # 36  - 17
CALLE 26   # 83 C - 40
CALLE 27   # 12  - 41
CALLE 27   # 16  - 5
CALLE 28   # 11 D - 20
CALLE 28   # 86  - 29
CALLE 28   # 96  - 161
CALLE 28   # 96  - 55
CALLE 3 A  # 93  - 23
CALLE 3 A  # 92  - 32
CALLE 31   # 32  - 18
CALLE 31 A  # 1 A - 39
CALLE 31   # 11 B - 46
CALLE 34   # 25 A - 77
CALLE 39  NORTE # 4 N - 62
CALLE 3 B  # 70  - 135
CALLE 4 D  # 89  - 26
CALLE 40   # 11 G - 9
CALLE 43   # 2 A - 2
CALLE 45   # 83 D - 37
CALLE 45   # 94  - 45
CALLE 46   # 11  - 38
CALLE 47 A  # 3 C - 67
CALLE 47 B   # 2 G - 41
CALLE 47  NORTE # 4 B - 85
CALLE 47 C  # 49  - 45
CALLE 4 A  # 43  - 88
CALLE 5   # 59 A - 43
CALLE 5   # 89  - 35
CALLE 5 B   # 34  - 29
CALLE 51   # 5 B - 25
CALLE 56   # 32 A - 71
CALLE 56   # 46 B - 81
CALLE 58   # 5 B - 62
CALLE 58   # 4 B - 45
CALLE 59   # 2 E - 11
CALLE 6   # 5  - 14
CALLE 6   # 10  - 85
CALLE 60   # 2 A - 85
CALLE 61   # 2 F - 53
CALLE 66   # 5  - 80
CALLE 6 A  # 119 A - 140
CALLE 6 A  # 63 A - 42
CALLE 7   # 37  - 35
CALLE 7   # 9  - 19
CALLE 70   # 27  - 129
CALLE 70   # 26 F - 59
CALLE 70   # 7 N - 21
CALLE 71   # 11  - 10
CALLE 71 B   # 13  - 66
CALLE 72   # 3 A - 68
CALLE 72   # 1 A - 58
CALLE 72 B   # 1 B - 45
CALLE 73   # 1 A - 13
CALLE 78   # 8  - 16
CALLE 79   # 3 B - 25
CALLE 7 A  # 56  - 136
CALLE 82   # 22  - 29
CALLE 83 D  # 20 A - 69
CALLE 83 B   # 4  - 9
CALLE 9   # 22  - 30
CALLE 90 C  # 26 G - 3
CALLE 94   # 25  - 70
CALLE 1 A  # 70  - 30
CARRERA 1 A  # 2  - 73
CARRERA 1   # 42  - 3
CARRERA 10   # 72  - 110
CARRERA 100   # 34  - 65
CARRERA 100   # 16  - 20
CARRERA 101 A  # 19  - 40
CARRERA 11 B  # 37  - 41
CARRERA 11 B  # 19  - 13
CARRERA 11 B  # 29  - 18
CARRERA 11 D  # 64  - 77
CARRERA 14 A  # 58  - 49
CARRERA 146   # 19  - 81
CARRERA 15   # 16 A - 16
CARRERA 15   # 74  - 31
CARRERA 1   # 73  - 24
CARRERA 23   # 71  - 28
CARRERA 24   # 19  - 30
CARRERA 24   # 17 A - 30
CARRERA 25   # 33 E - 19
CARRERA 37   # 10  - 303
CARRERA 34   # 10  - 585
CARRERA 34   # 10  - 58
CARRERA 33   # 10  - 68
AVENIDA 3  OESTE # 7  - 35
AVENIDA 5  OESTE # 21  - 28
AVENIDA 7  NORTE # 26 N - 35
AVENIDA 7  NORTE # 41  - 41
Avenida Carrera  12 C  # 55  - 8
Avenida Carrera  2   # 10 O - 44
Avenida Carrera  26 R  # 106  - 2
Avenida Carrera  39   # 4 B - 5
Avenida Carrera  44   # 5 B - 1
Avenida Calle 110   # 6 Q - 522
Avenida Calle 117   # 42 B - 189
Avenida Calle 36   # 43  - 101
Avenida Calle 74   # 38 D - 113
Avenida Calle 77 B  # 57  - 103
Avenida Calle 79   # 38 D - 113
Avenida Calle 83   # 76  - 33
Avenida Calle 84 B  # 39 A - 20
Avenida Calle 30   # 4 B - 2
CALLE 109   # 12 A - 36
CALLE 110   # 49 E - 12
CALLE 117   # 34  - 82
CALLE 15   # 18  - 100
CALLE 17   # 22  - 73
CALLE 17 F  # 6 A - 28
CALLE 19   # 3 E - 5
CALLE 33 A  # 7 H - 15
CALLE 34 B  # 1 B - 71
CALLE 37   # 22  - 30
CALLE 38   # 21  - 74
CALLE 40   # 25  - 56
CALLE 40   # 3 C - 25
CALLE 41   # 31  - 96
CALLE 41 B  # 4  - 16
CALLE 42   # 46  - 146
CALLE 43   # 6  - 30
CALLE 43   # 33  - 100
CALLE 44   # 26  - 18
CARRERA 10 B  # 45 B - 37
CARRERA 11   # 26 A - 2
CARRERA 14 F  # 45 E - 19
CARRERA 14 G  # 47 B - 12
CARRERA 15 C  # 45 C - 16
CARRERA 16 A  # 27 B - 48
CARRERA 16 D  # 45 E - 22
CARRERA 16 E  # 45 E - 23
CARRERA 17 B  # 68  - 40
CARRERA 2   # 18 H - 37
CARRERA 20   # 61  - 35
CARRERA 22   # 64  - 44
CARRERA 22 D  # 64  - 73
CARRERA 23   # 39  - 43
CARRERA 26   # 118  - 31
CARRERA 32   # 47 D - 10
CARRERA 32 A  # 103  - 75
CARRERA 3 B  # 41  - 69
CARRERA 40 A  # 90  - 40
CARRERA 40 B  # 93  - 44
Avenida Carrera 1 J  # 45  - 20
Avenida Carrera 11   # 45 B - 6
Avenida Carrera 19   # 123  - 52
Avenida Carrera 52 B  # 96  - 68
Avenida Carrera 58   # 91 - - 46
AV CIRCUNVALAR CALLE 110   # 4  - 100
AV CIRCUNVALAR CALLE 110   # 427  - 
AV CIRCUNVALAR CALLE 110   # 51 B - 175
AV CIRCUNVALAR CALLE 110   # 10  - 427
AV CIRCUNVALAR CALLE 110   # 6  - 335
AV CIRCUNVALAR CALLE 110   # 6  - 355
AV CIRCUNVALAR CALLE 110   #   - 
AV CIRCUNVALAR CALLE 110   # 6  - 361
AV CIRCUNVALAR CALLE 110   # 6  - 361
AV CIRCUNVALAR CALLE 110   # 6  - 361
AV CIRCUNVALAR CALLE 110   # 6 R - 400
AV CIRCUNVALAR CALLE 45   # 4  - 556
AV. CIRCUNVALAR    # 9 G - 390
AV CIRCUNVALAR CARRERA 15  SUR # 51 B - 999
Avenida San Martin 6   # 29   
Avenida Primera 71   # 94   1
Avenida Crisanto Luque 44 B  # 26   
Avenida Del Arsenal 8 B  # 39   
Avenida Del Arsenal 8 B  # 39   
Avenida Carrera El Lago 22   # 108  - 
Avenida Calle El Lago 29 B  #    
Avenida  Carrera Pie de La Popa 21   # 32  - 
Avenida Pedro De Heredia 20   # 240   
Avenida Pedro De Heredia 20   # 240   
Avenida Pedro De Heredia 48   # 94  - 
Avenida Pedro De Heredia 27 A  # 23   
Avenida Pedro De Heredia 18 B  # 58   
Avenida Pedro De Heredia 26   # 142   
Avenida Pedro De Heredia 27 A  # 48   
Avenida Pedro De Heredia 30   # 25   
Avenida Primera 62   # 14   
Avenida Primera  64   # 56   
Avenida Primera 64   # 23   
Avenida Primera 64   # 37   
Calle 13   # 25   
Calle 14   # 12   
Calle 26   # 231   405
Calle 29 D  # 22   
Calle 31 D  # 48 B  35
Calle 31 B  # 49   
Calle 31 D  # 48 B - 35
Calle 31 E  # 71 B  
Calle 32   # 8   
Calle 32   # 8  - 91
Calle 5 A      601
Calle 73   # 1 A - 13B
Calle Santa Fe    # 13  - 38
Calle 30   # 25  - 4
Calle 22 c  # 80  - 6
Calle 26   # 25 A - 
Calle 29   # 20  - 105
Calle 30   # 25  - 4
Calle 31   # 47  - 30
Calle 31 E  # 71 B - 3
Diagonal 19 A  # 52  - 86B
Diagonal 19 A  # 52  - 
Diagonal 20   # 51  - 28P
Diagonal 21   # 45  - 35
Diagonal 21   # 40  - 29
Diagonal 21   # 46  - 156
Diagonal 21   # 49  - 122
Diagonal 21 A  # 52  - 151
Diagonal 21 A  # 48  - 65
